FechaKey;IdFecha;Anio;Quarter;Mes;DiaDelMes;DiaDeSemana;FechaVuelo
1;1;2018;1;3;28;3;08-09-0033
2;2;2018;1;3;27;2;07-09-0032
3;3;2018;1;3;15;4;07-09-0020
4;4;2018;1;3;14;3;08-09-0019
5;5;2018;1;3;13;2;08-09-0018
6;6;2018;1;3;12;1;08-09-0017
7;7;2018;1;3;6;2;08-09-0011
8;8;2018;1;3;5;1;08-09-0010
9;9;2018;1;3;4;7;08-09-0009
10;10;2018;1;3;3;6;07-09-0008
11;11;2018;1;3;2;5;08-09-0007
12;12;2018;1;3;24;6;08-09-0029
13;13;2018;1;3;23;5;07-09-0028
14;14;2018;1;3;11;7;07-09-0016
15;15;2018;1;3;10;6;08-09-0015
16;16;2018;1;3;9;5;08-09-0014
17;17;2018;1;3;8;4;08-09-0013
18;18;2018;1;3;1;4;08-09-0006
19;19;2018;1;3;31;6;07-09-0036
20;20;2018;1;3;30;5;08-09-0035
21;21;2018;1;3;29;4;08-09-0034
22;22;2018;1;3;26;1;08-09-0031
23;23;2018;1;3;25;7;08-09-0030
24;24;2018;1;3;22;4;08-09-0027
25;25;2018;1;3;21;3;08-09-0026
26;26;2018;1;3;20;2;08-09-0025
27;27;2018;1;3;19;1;07-09-0024
28;28;2018;1;3;16;5;08-09-0021
29;29;2018;1;3;7;3;07-09-0012
30;30;2018;1;3;17;6;08-09-0022
31;31;2018;1;3;18;7;08-09-0023
