IdIncident;CarrierDelay;WeatherDelay;NASDelay
1;997.0;4;
2;641.0;3;
3;862.0;4;26.00
4;534.0;3;
5;2454.0;10;0.00
6;787.0;4;
7;937.0;4;
8;837.0;4;
9;1400.0;6;0.00
10;1874.0;8;0.00
11;1372.0;6;
12;2704.0;11;
13;680.0;3;
14;337.0;2;
15;236.0;1;62.00
16;451.0;2;
17;1009.0;5;0.00
18;1620.0;7;23.00
19;967.0;4;0.00
20;1068.0;5;
21;1023.0;5;
22;1440.0;6;
23;901.0;4;
24;819.0;4;
25;1235.0;5;14.00
26;1608.0;7;
27;1005.0;5;
28;746.0;3;
29;416.0;2;
30;2565.0;11;0.00
31;820.0;4;
32;1721.0;7;0.00
33;1635.0;7;
34;2584.0;11;15.00
35;1379.0;6;0.00
36;967.0;4;
37;1504.0;7;
38;1744.0;7;
39;744.0;3;0.00
40;1969.0;8;0.00
41;862.0;4;
42;2425.0;10;
43;1185.0;5;10.00
44;1504.0;7;0.00
45;733.0;3;
46;224.0;1;
47;679.0;3;
48;862.0;4;0.00
49;299.0;2;
50;692.0;3;233.00
51;719.0;3;
52;1635.0;7;11.00
53;1379.0;6;16.00
54;1874.0;8;
55;602.0;3;6.00
56;1400.0;6;55.00
57;1062.0;5;
58;1025.0;5;
59;964.0;4;0.00
60;1416.0;6;
61;964.0;4;
62;414.0;2;
63;2565.0;11;
64;447.0;2;1.00
65;316.0;2;0.00
66;191.0;1;97.00
67;1346.0;6;
68;1065.0;5;
69;1182.0;5;
70;787.0;4;140.00
71;854.0;4;
72;1197.0;5;
73;264.0;2;
74;997.0;4;46.00
75;649.0;3;
76;1609.0;7;0.00
77;1491.0;6;0.00
78;349.0;2;0.00
79;1050.0;5;
80;1558.0;7;
81;602.0;3;
82;284.0;2;
83;191.0;1;
84;589.0;3;0.00
85;836.0;4;
86;550.0;3;
87;1476.0;6;
88;1569.0;7;
89;1325.0;6;0.00
90;1023.0;5;4.00
91;2419.0;10;
92;925.0;4;0.00
93;2434.0;10;
94;3329.0;11;3.00
95;305.0;2;
96;2227.0;9;
97;1222.0;5;
98;689.0;3;
99;599.0;3;0.00
100;2338.0;10;
101;977.0;4;
102;1195.0;5;0.00
103;2447.0;10;
104;776.0;4;
105;1846.0;8;
106;2306.0;10;
107;895.0;4;
108;3302.0;11;
109;1303.0;6;
110;1605.0;7;
111;191.0;1;319.00
112;3329.0;11;
113;2367.0;10;
114;200.0;1;
115;2504.0;11;
116;533.0;3;
117;775.0;4;7.00
118;854.0;4;0.00
119;2449.0;10;
120;864.0;4;
121;495.0;2;
122;1635.0;7;0.00
123;2400.0;10;138.00
124;2402.0;10;
125;1120.0;5;
126;3414.0;11;
127;334.0;2;
128;1009.0;5;
129;599.0;3;
130;447.0;2;
131;108.0;1;
132;2398.0;10;
133;888.0;4;
134;1379.0;6;
135;775.0;4;
136;550.0;3;99.00
137;1222.0;5;0.00
138;628.0;3;
139;861.0;4;
140;854.0;4;61.00
141;2454.0;10;
142;612.0;3;
143;200.0;1;0.00
144;651.0;3;
145;421.0;2;
146;2521.0;11;
147;372.0;2;
148;2161.0;9;
149;1635.0;7;6.00
150;1325.0;6;23.00
151;2133.0;9;6.00
152;1726.0;7;
153;1012.0;5;
154;550.0;3;0.00
155;2133.0;9;
156;867.0;4;
157;1825.0;8;
158;266.0;2;
159;1723.0;7;
160;2253.0;10;
161;326.0;2;
162;2565.0;11;1.00
163;763.0;4;
164;1597.0;7;0.00
165;337.0;2;0.00
166;867.0;4;0.00
167;2846.0;11;
168;224.0;1;11.00
169;550.0;3;67.00
170;678.0;3;
171;748.0;3;16.00
172;641.0;3;0.00
173;120.0;1;0.00
174;1703.0;7;
175;1436.0;6;
176;1085.0;5;
177;2419.0;10;6.00
178;329.0;2;
179;1235.0;5;
180;120.0;1;
181;802.0;4;
182;2402.0;10;0.00
183;2446.0;10;
184;1091.0;5;0.00
185;760.0;4;
186;1024.0;5;
187;1754.0;8;13.00
188;1416.0;6;0.00
189;925.0;4;
190;956.0;4;
191;912.0;4;
192;2556.0;11;
193;158.0;1;
194;191.0;1;0.00
195;758.0;4;
196;1607.0;7;
197;1007.0;5;
198;1162.0;5;
199;1034.0;5;0.00
200;643.0;3;
201;643.0;3;0.00
202;140.0;1;
203;1504.0;7;43.00
204;2400.0;10;
205;2556.0;11;33.00
206;140.0;1;0.00
207;867.0;4;57.00
208;1721.0;7;21.00
209;316.0;2;
210;948.0;4;
211;414.0;2;20.00
