CarrierDelay;WeatherDelay;NASDelay
997.0;4;
641.0;3;
862.0;4;26.00
534.0;3;
2454.0;10;0.00
787.0;4;
937.0;4;
837.0;4;
1400.0;6;0.00
1874.0;8;0.00
1372.0;6;
2704.0;11;
680.0;3;
337.0;2;
236.0;1;62.00
451.0;2;
1009.0;5;0.00
1620.0;7;23.00
967.0;4;0.00
1068.0;5;
1023.0;5;
1440.0;6;
901.0;4;
819.0;4;
1235.0;5;14.00
1608.0;7;
1005.0;5;
746.0;3;
416.0;2;
2565.0;11;0.00
820.0;4;
1721.0;7;0.00
337.0;2;
967.0;4;0.00
1635.0;7;
2584.0;11;15.00
1379.0;6;0.00
967.0;4;
1504.0;7;
1744.0;7;
1372.0;6;
744.0;3;0.00
1969.0;8;0.00
1874.0;8;0.00
862.0;4;
2425.0;10;
1185.0;5;10.00
1504.0;7;0.00
733.0;3;
641.0;3;
224.0;1;
679.0;3;
862.0;4;0.00
299.0;2;
692.0;3;233.00
719.0;3;
1635.0;7;11.00
1379.0;6;0.00
679.0;3;
1379.0;6;16.00
1874.0;8;
602.0;3;6.00
1400.0;6;55.00
1062.0;5;
1025.0;5;
964.0;4;0.00
1062.0;5;
1416.0;6;
1608.0;7;
862.0;4;
964.0;4;
414.0;2;
2565.0;11;
447.0;2;1.00
997.0;4;
1009.0;5;0.00
787.0;4;
1874.0;8;
316.0;2;0.00
1068.0;5;
191.0;1;97.00
1400.0;6;0.00
1346.0;6;
1065.0;5;
1182.0;5;
787.0;4;140.00
854.0;4;
1197.0;5;
264.0;2;
901.0;4;
937.0;4;
997.0;4;46.00
649.0;3;
1609.0;7;0.00
1491.0;6;0.00
349.0;2;0.00
1050.0;5;
1558.0;7;
602.0;3;
284.0;2;
191.0;1;
589.0;3;0.00
836.0;4;
550.0;3;
787.0;4;
854.0;4;
1476.0;6;
1569.0;7;
1325.0;6;0.00
1023.0;5;4.00
2419.0;10;
925.0;4;0.00
2434.0;10;
3329.0;11;3.00
414.0;2;
305.0;2;
2227.0;9;
1222.0;5;
689.0;3;
599.0;3;0.00
2338.0;10;
977.0;4;
1195.0;5;0.00
2447.0;10;
337.0;2;
776.0;4;
1182.0;5;
1846.0;8;
2306.0;10;
895.0;4;
1197.0;5;
3302.0;11;
1303.0;6;
1605.0;7;
191.0;1;319.00
3329.0;11;
2338.0;10;
2338.0;10;
2367.0;10;
2367.0;10;
2367.0;10;
200.0;1;
2504.0;11;
533.0;3;
2227.0;9;
775.0;4;7.00
733.0;3;
854.0;4;0.00
2449.0;10;
864.0;4;
997.0;4;
495.0;2;
1635.0;7;0.00
200.0;1;
2400.0;10;138.00
733.0;3;
2402.0;10;
1068.0;5;
1120.0;5;
3414.0;11;
2447.0;10;
334.0;2;
1009.0;5;
787.0;4;
1009.0;5;
599.0;3;
679.0;3;
1065.0;5;
447.0;2;
862.0;4;0.00
108.0;1;
2398.0;10;
888.0;4;
200.0;1;
1400.0;6;0.00
1379.0;6;
305.0;2;
775.0;4;
550.0;3;99.00
1222.0;5;0.00
628.0;3;
1068.0;5;
937.0;4;
414.0;2;
861.0;4;
1491.0;6;0.00
854.0;4;61.00
337.0;2;
733.0;3;
1050.0;5;
997.0;4;
2454.0;10;
612.0;3;
1068.0;5;
819.0;4;
612.0;3;
414.0;2;
200.0;1;0.00
200.0;1;
719.0;3;
651.0;3;
421.0;2;
2521.0;11;
372.0;2;
2161.0;9;
1635.0;7;6.00
964.0;4;
862.0;4;
1325.0;6;23.00
2133.0;9;6.00
719.0;3;
1726.0;7;
1012.0;5;
612.0;3;
2565.0;11;
1440.0;6;
550.0;3;0.00
937.0;4;
2133.0;9;
867.0;4;
337.0;2;
2227.0;9;
495.0;2;
2425.0;10;
1825.0;8;
266.0;2;
1723.0;7;
2253.0;10;
1023.0;5;
326.0;2;
414.0;2;
2565.0;11;1.00
2227.0;9;
997.0;4;
763.0;4;
2338.0;10;
495.0;2;
1597.0;7;0.00
1379.0;6;
337.0;2;0.00
2398.0;10;
1050.0;5;
1416.0;6;
867.0;4;0.00
2846.0;11;
224.0;1;11.00
550.0;3;67.00
1023.0;5;
1065.0;5;
2338.0;10;
678.0;3;
1023.0;5;
2133.0;9;
200.0;1;0.00
2434.0;10;
748.0;3;16.00
641.0;3;0.00
120.0;1;0.00
1703.0;7;
1436.0;6;
1608.0;7;
967.0;4;
1635.0;7;0.00
1023.0;5;
1085.0;5;
1558.0;7;
1400.0;6;0.00
1068.0;5;
2419.0;10;6.00
108.0;1;
329.0;2;
1235.0;5;
305.0;2;
937.0;4;
1085.0;5;
120.0;1;
802.0;4;
1608.0;7;
2402.0;10;0.00
2446.0;10;
678.0;3;
1091.0;5;0.00
760.0;4;
2398.0;10;
1024.0;5;
1754.0;8;13.00
612.0;3;
1416.0;6;0.00
1005.0;5;
925.0;4;
956.0;4;
1726.0;7;
1085.0;5;
912.0;4;
2556.0;11;
1346.0;6;
746.0;3;
1023.0;5;
2565.0;11;0.00
158.0;1;
191.0;1;0.00
733.0;3;
964.0;4;
758.0;4;
1607.0;7;
1007.0;5;
1162.0;5;
2454.0;10;
1197.0;5;
1120.0;5;
1034.0;5;0.00
643.0;3;
643.0;3;0.00
140.0;1;
1744.0;7;
1005.0;5;
1504.0;7;43.00
1012.0;5;
2400.0;10;
1120.0;5;
2565.0;11;
612.0;3;
1372.0;6;
334.0;2;
2556.0;11;33.00
3302.0;11;
140.0;1;0.00
1023.0;5;
200.0;1;0.00
421.0;2;
326.0;2;
867.0;4;57.00
1721.0;7;21.00
1182.0;5;
937.0;4;
1065.0;5;
1182.0;5;
1379.0;6;0.00
1085.0;5;
316.0;2;
108.0;1;
948.0;4;
1235.0;5;
1416.0;6;
2402.0;10;
414.0;2;20.00
925.0;4;0.00
1726.0;7;
775.0;4;
612.0;3;
1023.0;5;
2007.0;9;
2504.0;11;
2615.0;11;
337.0;2;
1504.0;7;
2615.0;11;
708.0;3;
1065.0;5;
1182.0;5;
925.0;4;0.00
550.0;3;
2338.0;10;
967.0;4;
1416.0;6;95.00
1303.0;6;
472.0;2;0.00
2486.0;10;
2846.0;11;
1744.0;7;
680.0;3;
2338.0;10;
224.0;1;
864.0;4;
864.0;4;
606.0;3;
977.0;4;
1012.0;5;
1605.0;7;
1452.0;6;
1034.0;5;
533.0;3;0.00
120.0;1;
925.0;4;
1597.0;7;
1416.0;6;
1597.0;7;
191.0;1;0.00
867.0;4;
299.0;2;
1744.0;7;
719.0;3;
1208.0;5;
191.0;1;0.00
1065.0;5;
746.0;3;
2454.0;10;
224.0;1;46.00
1379.0;6;0.00
854.0;4;
305.0;2;
1197.0;5;
1379.0;6;223.00
334.0;2;
140.0;1;0.00
787.0;4;29.00
2556.0;11;
2556.0;11;
854.0;4;
854.0;4;
2556.0;11;
2615.0;11;
802.0;4;
1709.0;7;
316.0;2;
639.0;3;
2556.0;11;
1609.0;7;0.00
3414.0;11;
550.0;3;6.00
1199.0;5;
1846.0;8;
1290.0;6;
776.0;4;7.00
888.0;4;
2425.0;10;
896.0;4;
775.0;4;
2504.0;11;
1007.0;5;
200.0;1;0.00
1635.0;7;
853.0;4;
1721.0;7;
1744.0;7;
826.0;4;
862.0;4;
1190.0;5;21.00
802.0;4;
1120.0;5;
837.0;4;
733.0;3;
1744.0;7;
1197.0;5;
862.0;4;0.00
1504.0;7;
2486.0;10;4.00
719.0;3;
1222.0;5;
1514.0;7;
1506.0;7;0.00
2398.0;10;
1023.0;5;
1608.0;7;0.00
2454.0;10;
2556.0;11;
1379.0;6;0.00
1005.0;5;
305.0;2;
733.0;3;
2454.0;10;
1703.0;7;
1242.0;5;
1585.0;7;
2133.0;9;
925.0;4;
2556.0;11;
1546.0;7;
316.0;2;
2457.0;10;
2447.0;10;
2139.0;9;0.00
397.0;2;
1911.0;8;3.00
937.0;4;
2454.0;10;0.00
1379.0;6;
2504.0;11;
606.0;3;
1023.0;5;0.00
2306.0;10;
1400.0;6;0.00
1874.0;8;
997.0;4;
925.0;4;
937.0;4;
299.0;2;
